Combustível calcinador (t/h),Combustível forno (t/h),Alimentação (t/h),Velocidade do exaustor(%),Temperatura Ar Secundário,O2% - CAIXA,NOx (ppm) - CAIXA,O2% - Saida da Torre de ciclone,Temperatura na Caixa de Fumaça ,Torque do Motor ,CaO Livre
11.522389332977035,9.316894539159426,363.7709081358987,64.68715731619417,1077.8056534329876,3.3843674534551327,1034.0131062194669,4.275536406302417,1035.705548170559,44.10948006245949,1.3815117777777777
11.523976216059557,9.31889405402555,363.83106834672833,64.68715484003361,1078.0042872920462,3.3838046460618907,1033.9148730679071,4.274977520358544,1035.7603470378447,44.114446882003065,1.3853508888888888
11.527067995431493,9.320891238941925,363.9007325030887,64.68740125094922,1078.1648528633743,3.384538826006092,1033.9571953304571,4.2747786852987835,1035.7934735503768,44.12518583965453,1.3890737777777777
11.530083544168669,9.322884589299559,363.9726961991395,64.68734062289676,1078.2863085529298,3.3862853628017264,1034.0056678664535,4.2744399268795075,1035.8236313677048,44.13383343813257,1.3927804444444445
11.531998742361768,9.324882153100075,364.0332616981778,64.68735173393208,1078.3572260027772,3.38907288225244,1033.6410013507345,4.274414112879263,1035.871415129834,44.13827144017036,1.3964146666666668
11.534660633792722,9.326881550586396,364.0932221546897,64.687339921965,1078.3934553474953,3.3924969992332845,1033.4660239806274,4.274580322490802,1035.9219775565355,44.14154939328113,1.4000497777777778
11.539293663002534,9.328883635220837,364.1525912068284,64.6875211847499,1078.3822586607653,3.3958456406438047,1033.240824010607,4.272821678277966,1035.9598527894952,44.148019444685204,1.4037311111111113
11.542946607922001,9.330877530526346,364.2130807219297,64.68755106917804,1078.5093824854803,3.394656915146284,1032.1800502588899,4.271098099603777,1036.0381546598453,44.15213771514209,1.4073066666666667
11.546291916483677,9.332881551101034,364.27383687395,64.68746789307278,1078.653427567767,3.3941650898948215,1031.5820618072444,4.269267270729819,1036.117537043182,44.15987653376719,1.410883111111111
11.549274849747528,9.334884106361462,364.33366450610055,64.68741425383297,1078.8347000487759,3.39539376407368,1031.3749955217968,4.267664017351525,1036.201140777093,44.162303064286654,1.4144471111111114
11.552272063128346,9.336882008034667,364.3939284433597,64.68764250038637,1079.0350699359265,3.3967207722499575,1031.310194047119,4.266589128279896,1036.288120164542,44.16442321501519,1.418012
11.554778335626935,9.33887513622491,364.4530240335349,64.68765779374621,1079.2472424251396,3.398289135322448,1031.338618047707,4.265983501437921,1036.3803060411722,44.166233321108415,1.4215777777777778
11.556459170321489,9.340878301103327,364.5141606069914,64.68738965343219,1079.4744617708889,3.4003611376818985,1031.3746435199032,4.264518559981161,1036.4767432905282,44.168056734768,1.4251444444444443
11.558877519981072,9.342879113552469,364.5730159743998,64.68743673801731,1079.727889501758,3.4021850817712154,1030.9595595064116,4.263413825898128,1036.5730656129633,44.16380848458531,1.4287053333333333
11.561333410240927,9.34487996138667,364.63250567916054,64.68775034084368,1079.9935395191649,3.403422886655264,1030.5896509779977,4.262443484016155,1036.669315638885,44.15811174265442,1.4322671111111112
11.562313459028639,9.346877212416196,364.6938821115367,64.68759407093603,1080.262824276089,3.4049790302236858,1030.2702903375507,4.261723565855904,1036.7721919006005,44.1511858640471,1.4358297777777778
